SKU,Product name,Description & Features,Selling Price,Brand,Category
TOSLI2301510,Cordless 3 pcs combo kit,"Voltage:20V
With 1pcs Lithium-ion rotary hammer(TRHLI20228)
With 1pcs lithium-ion angle grinder(TAGLI20107)
With 1pcs lithium-ion impact driver(TIRLI2017)
Lithium-ion rotary hammer(TRHLI20228):
Brushless motor
Voltage:20V
No-load speed:0-1100rpm
Impact rate:0-5000bpm
Single impact force:2.0J
Max drilling capacity: diameter 26mm in concrete
Integrated work light
SDS plus chuck system
With 3pcs drills and 1pcs chisel
lithium-ion angle grinder(TAGLI20107):
Brushless Motor
Voltage:20V
No-load speed:3000/9000rpm
Disc diameter:100mm
Spindle thread:M10
lithium-ion impact driver(TIRLI2017):
Brushless motor
Voltage:20V
Hex shank:6.35mm
No-load speed:0-1300/0-2300rpm
Impact rate:0-2000/0-3300bpm
Max torque:170NM
With 1set abrasive metal cutting disc set
With 2pcs 4.0Ah battery pack
With 1pcs charge
Charge volts:220-240V~50/60Hz 
Packed by color box",61000,TOTAL,Power Tools
TOSLI250695,Cordless 4 pcs combo kit,"Voltage:20V
With 1pcs Compact Brushless Cordless Impact Drill(TIDLI206681)
With 1pcs Cordless rotary hammer(TRHLI21228)
With 1pcs Cordless circular saw(TSLI1402)
With 1pcs Cordless blower(TABLI20028)
Compact Brushless Cordless Impact Drill(TIDLI206681):
Brushless motor
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 66Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Cordless rotary hammer(TRHLI21228):
Brushless motor
No-load speed: 0-1100rpm
Impact rate: 0-5400bpm
Impact energy: 2.0J
Max.drilling capacity:
 Concrete: 22mm
 Steel: 13mm
 Wood: 28mm
SDS Plus chuck system
Cordless circular saw(TSLI1402):
Brushless motor
No-load speed:6300rpm
Blade diameter:140mm(5-1/2'')
Arbor size:20mm
Adjustable cutting depth
Adjustable bevel cutting
Cutting capacity:
45°degree:33mm
90°degree:50mm
Cordless blower(TABLI20028):
No-load speed: 18000rpm
Max air volume: 2.7m³/min
Include:
47 Pcs accessories
3 Pcs masonry drill bits
3 Pcs drill bits(6,8,10mm)
1 Pcs chisel
1 Pcs 140mm blade
2 Pcs 4.0Ah battery(TFBLI20021)
1 Pcs charge(TFCLI20411)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",61000,TOTAL,Power Tools
TCKLI20275,Cordless 2 pcs combo kit,"Voltage:20V
With 1pcs Compact Brushless Cordless Impact Drill(TIDLI206681)
With 1pcs Cordless impact wrench(TIWLI20401)
Compact Brushless Cordless Impact Drill(TIDLI206681):
Brushless motor
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 66Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Cordless impact wrench(TIWLI20401):
Brushless motor
Square drive:1/2""
No-load speed:0-1600/0-1900/0-2300rpm
Impact rate:0-2100/0-2500/0-2900bpm
Max torque:400NM
Nut-Busting torque: 550Nm
Include:
1 Pcs 20V charger(TFCLI2001)
Charge volts: 220-240V~50/60Hz
2 Pcs 2.0Ah battery pack(TFBLI20011)
47 Pcs accessories
3 Pcs sockets(17 19 21mm)
Packed by carrying case",39800,TOTAL,Power Tools
TCKLI2027310,Cordless 2 pcs combo kit,"Voltage: 20V
1 Pcs cordless angle grinder(TAGLI21104)
1 Pcs compact Brushless Cordless Impact Drill(TIDLI206681)
Cordless angle grinder(TAGLI21104):
Brushless Motor
No-load speed:3000/6000/9000rpm
Disc diameter:100mm
Spindle thread:M10
Compact Brushless Cordless Impact Drill(TIDLI206681):
Brushless motor
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 66Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Include:
1 Set 100mm abrasive metal cutting disc(10 Pcs)
47 Pcs accessories
1 Pcs 2.0Ah battery pack(TFBLI20011)
1 Pcs 4.0Ah battery pack(TFBLI20021)
1 Pcs P20S Lithium-Ion battery charger(TFCLI2001)
Charge volts: 220-240V~50/60Hz
Packed by carrying case",49900,TOTAL,Power Tools
TOSLI250983,Cordless 2 Pcs combo kit,"Voltage: 20V
With 1pcs cordless impact wrench (TIWLI20851)
With 1pcs cordless heat gun (TBLI2003)
Cordless impact wrench (TIWLI20851):
Brushless motor
Voltage: 20V
Square drive:1/2""
No-load speed: 0-1600/0-2100/0-2400rpm
Impact rate: 0-1500/0-1800/0-2200bpm
Fastening torque: 850Nm
Nut-Busting torque: 1000Nm
Integrated LED work light
Cordless heat gun (TBLI2003):
Voltage:20V
Temperature:30-550℃
Airflow:100/200 L/min
Adjustable temperature with LCD display for precise control
Include:
1 Pcs reduction nozzle
1 Pcs reflector nozzle
1 Pcs flat nozzle
1 Pcs scraper
3 Pcs deep sockets(22,24,27mm)
1 Pcs belt clip
2 Pcs 5.0Ah battery pack(TFBLI20531)
1 Pcs charger(TFCLI20411)
Charge volts: 220-240V~50/60Hz 
Packed by carrying case",61000,TOTAL,Power Tools
TOSLI23056,Cordless 2 pcs combo kit,"Voltage:20V
With 1pcs cordless impact wrench(TIWLI20451)
With 1pcs work lamp(TWLI043006)
Cordless impact wrench(TIWLI20451):
Brushless motor
Voltage: 20V
Square drive: 1/2""
No-load speed: 0-1800/0-2000/0-2400rpm
Impact rate: 0-2200/0-2600/0-3000bpm
Fastening torque: 405Nm
Breakaway  torque: 555Nm
Integrated LED work light
Work lamp(TWLI043006)
Using Li-polymer rechageable battery 
Lumens:
              Max:300±10%
              Low:75±10%
LED power dissipation:3.5W
Include:
1 Pcs USB charging cable                                
10 Pcs 1/2"" DR. impact socket set
1 Pcs 1/2"" square driver to 1/4"" hex
10 Pcs PH2+SL6.0 65mm screwdriver bits
2 Pcs 2.0Ah battery pack(TFBLI20011)
1 Pcs charger(TFCLI2001)
Charge volts:220-240V~50/60Hz 
Packed by carrying case",33700,TOTAL,Power Tools
TALS1602,Line spool,"Suit for Lithium-ion Grass trimmer
Line diameter: 1.6mm
Line type: spiral line
Line length: 5m
4 Pcs line spool
Suitable for 
TGTLI20018,TGTLI20301,UTGTLI20301,TGTLI20328,TGTLI203285,UTGTLI203285
Packed by Double blister",2100,TOTAL,Power Tools
TTVLI2001,Cordless tile vibration machine,"Voltage:20V
Vibrational frequency:0-10000rpm
Adsorbability:60kg
Suction Cup Diameter:130mm
Battery and charger sold separately
Packed by color box",8400,TOTAL,Power Tools
TIDLI205581,Compact Brushless Cordless Impact Drill,"Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max impact rate: 30000bpm
Max torque: 55Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Include:
1 Pcs Cr-V 65mm bit
3 Pcs masonry drill bits
Charger sold separately
Packed by color box",13800,TOTAL,Power Tools
TDLI205582,Compact Brushless Cordless Drill,"Brushless motor
Voltage: 20V
No-load speed: 0-500/0-2000rpm
Max torque: 55Nm
Metal chuck
Chuck capacity: 13mm
Torque settings: 22+1
Mechanical 2-speed gear
Spindle lock function
Integrated LED work light
Include:
47 Pcs accessories
1 Pcs 2.0Ah battery pack(TFBLI20011)
1 Pcs charger(TFCLI2001)
Charge volts:220-240V~50/60Hz 
Integrated work light
LED battery power indicator
Packed by color box",15500,TOTAL,Power Tools
